tag,des,des_2
DB09378,A synthetic glucocorticoid with anti-inflammatory properties.,
DB09379,"Sutilain is a member of the keratase family which includes agents such as papain. It is able to dissolve the intercellular matrix which helps with desquamation. Sutilain contains proteolytic enzymes derived from _Bacillus subtilis_ and it is available as a cream-colored odorless powder. One gram of sutilain powder contains 250,000 casein units of proteolytic activity.[T169] Sutilain was developed by Abbott and FDA approved on June 12, 1969. It is currently discontinued.[L2368]","Sutilain was indicated, in the form of an ointment, as a biochemical debridement of second and third-degree burns, incisional traumatic and pyrogenic wounds and ulcers occurring due to peripheral vascular diseases.[T169]"
DB09380,,
DB09381,"90%. Esterified estrogens are a man-made mixture of estrogens that are used to treat symptoms of menopause such as hot flashes, vaginal dryness, vaginal burning or irritation, or other hormonal changes in the vagina. It is being also for the prevention and treatment of osteoporosis.",It is also indicated for the treatment of menopausal symptoms.  
DB09383,,
DB09385,,
DB09389,"Norgestrel is synthetic steroidal progestin that is used in combination with ethinyl estradiol for oral contraception. Norgestrel is composed of a racemic mixture of two stereoisomers, dextronorgestrel and levonorgestrel.  However, only the levorotary enantiomer ([levonorgestrel]) is biologically active.",Norgestrel in combination with ethinyl estradiol is indicated for the prevention of pregnancy in women who elect to use this product as a method of contraception.
DB09393,Mixture of amino acids ; used for parenteral nutrition in infants.,
DB09394,"Phosphoric Acid is a colorless, odorless phosphorus-containing inorganic acid. Phosphoric acid is a sequestering agent which binds many divalent cations, including Fe++, Cu++, Ca++, and Mg++.","Phosphoric acid is used in dentistry and orthodontics as an etching solution, to clean and roughen the surfaces of teeth where dental appliances or fillings will be placed."
DB09395,"Sodium Acetate is chemically designated CH3COONa, a hygroscopic powder very soluble in water. Sodium acetate could be used as additives in food, industry, concrete manufacture, heating pads and in buffer solutions. Medically, sodium acetate is important component as an electrolyte replenisher when given intravenously. It is mainly indicated to correct sodium levels in hyponatremic patients. It can be used also in metabolic acidosis and for urine alkalinization.","Injection, USP 40 mEq is indicated as a source of sodium, for addition to large volume intravenous fluids to prevent or correct hyponatremia in patients with restricted or no oral intake. It is also useful as an additive for preparing specific intravenous fluid formulas when the needs of the patient cannot be met by standard electrolyte or nutrient solutions. Sodium acetate and other bicarbonate precursors are alkalinising agents, and can be used to correct metabolic acidosis, or for alkalinisation of the urine."
DB09397,"Technetium 99m sulfur colloid is a radiopharmaceutical diagnostic agent used in the evaluation of various conditions including lymph node metastases in breast cancer, detection of shunt patency, imaging of reticuloendothelial cells for assessment of liver function, and studies of esophageal transit and gastroesophageal reflux.  Following injection or oral administration, single photon emission computer tomography (SPECT) imaging is performed using a gamma camera to detect technetium-99m decay. This is possible as Technetium-99m decays by isomeric transition to technetium-99 through the release of a gamma ray. Depending on site of administration and intended usage, Technetium 99m sulfur colloid enters the capillaries and is transported to the lymph nodes (subcutaneous injection), mixes with peritoneal fluid (intraperitoneal injection), is taken up by reticulocytes (intravenous injection), or enters the gastroesphageal tract (oral administration).","Technetium 99m sulfur colloid is indicated as a diagnostic agent in adults for the following tests: localization of lymph nodes draining a primary tumor in patients with breast cancer or malignant melanoma; and evaluation of peritoneo-venous (LeVeen) shunt patency. It is indicated in both adult and pediatric patients for: imaging areas of functioning reticuloendothelial cells in the liver, spleen and bone marrow; and studies of esophageal transit and gastroesophageal reflux, and detection of pulmonary aspiration of gastric contents."
DB09398,"Sodium Fluoride F 18 Injection is a positron emitting radiopharmaceutical, no-carrier added. It contains radioactive fluoride F 18 that is used for diagnostic purposes in conjunction with positron emission tomography (PET) imaging and is administered by intravenous injection. Its primary indication is for bone imaging. Increased deposition around joints can occur in arthritis and following trauma and increased deposition in bone has been noted around fracture sites, in osteomyelitis, fibrous dysplasia, spondylitis tuberculosa, and Paget's disease. No adverse reactions have been reported.","18F is used as a bone imaging agent to define areas of altered osteogenic activity.  It has been indicated for back pain  and otherwise unexplained bone pain, child abuse, abnormal radiographic or laboratory findings, osteomyelitis, trauma, inflammatory and degenerative arthritis, avascular necrosis. Osteonecrosis of the mandible, condylar hyperplasia, and metabolic bone disease are also among the indications for fluoride imaging. "
DB09400,,
DB09401,Isosorbide is an organic nitrate with vasodilatory properties on both arteries and veins.,Indicated for the prevention and treatment of angina pectoris due to coronary artery disease. The onset of action of oral isosorbide mononitrate is not sufficiently rapid for this product to be useful in aborting an acute anginal episode.[label]
DB09403,Iocetamic acid is a diagnostic aid (radiopaque medium),
DB09407,Magnesium chloride salts are highly soluble in water and the hydrated form of magnesium chloride can be extracted from brine or sea water.,"
"
DB09409,"Magnesium acetate tetrahydrate is a hydrated form of anhydrous magnesium acetate salt with the chemical formula of Mg(CH3COO)2 ? 4H2O. As a salt form of magnesium, magnesium acetate is one of the bioavailable forms of magnesium and forms a very water soluble compound. Magnesium is an essential element and second most abundant cation in the body that plays a key role in maintaining normal cellular function such as production of ATP and efficient enzyme activity. Magnesium acetate tetrahydrate can be used as an electrolyte supplementation or a reagent in molecular biology experiments.","Used as magnesium salf-containing laxatives to prevent constipation. It can bring synergistic effect to restore normal bowel function when using in combination with aluminum salts that induce bowel retention [T28]. Magnesium acetate tetrahydrate is used as a source of water and electrolytes when combined with dextrose and other salts to form intravenous infusions. This injection can be used for patients with carbohydrate or magnesium deficiency, insulin hypoglycemia, constipation or hypertension during pregnancy."
DB09413,"Monopotassium phosphate, MKP, (also potassium dihydrogenphosphate, KDP, or monobasic potassium phosphate), KH2PO4, is a soluble salt of potassium and the dihydrogen phosphate ion.  It is a source of phosphorus and potassium as well as a buffering agent. It can be used in fertilizer mixtures to reduce escape of ammonia by keeping pH low.","Used as a nutritional supplement in foods, a nonlinear optical material for laser use, and in wastewater treatment; "
DB09414,Dipotassium phosphate (K2HPO4) is a highly water-soluble salt often used as a fertilizer and food additive as a source of phosphorus and potassium as well as a buffering agent.,"Dipotassium phosphate is used in imitation dairy creamers, dry powder beverages, mineral supplements, and starter cultures as an additive. It is used in non-dairy creamers to prevent coagulation. Dipotassium phosphate is also used to make buffer solutions and it is used in the production of trypticase soy agar which is used to make agar plates for culturing bacteria."
DB09418,"Potassium perchlorate is an inorganic salt with the chemical formula KClO4. It is a strong oxidizer with the lowest solubility of the alkali metal perchlorates. Potassium is most commonly used in flares and automobile airbags [A32609]. The use of potassium perchlorate as a component in sealing gaskets for food containers has been revoked by the FDA following the use being abandoned by the industry [L2365]. Potassium perchlorate acts as a competitive inhibitor of iodine uptake by the thyroid gland and attenuates the production of the thyroid hormone. Thus the use of potassium perchlorate has been extensive for hyperthyroidism during the last 50 years, particularly in the late 1950s and early 1960s [A32609]. The therapeutic use of potassium perchlorate in thyroid disorders has been ceased due to a high risk for developing aplastic anemia and nephrotic syndrome [L2364].",No current FDA- or EMA-approved therapeutic indications.
DB09419,"The dextrorotary form of xylose, D-xylose, refers usually to the endogenously occurring form of the sugar in living things. The levorotary form, L-xylose, can refer to the form that is synthesized. Nevertheless, xylose by itself may not necessarily serve many purposes immediately - but its metabolism results in a variety of substrates that can serve important nutritional and biological purposes.","Alternatively, xylose was also involved in a procedure known as a D-xylose absorption test that used to be employed to evaluate how well an individual was capable of absorbing a simple sugar like D-xylose from the intestines [L2432]. By measuring the amount of D-xylose in urine and blood samples after an individual ingested a certain amount of the simple sugar dissolved in some water, the test sought to determine if nutrients were being properly absorbed in the patient's gastrointestinal tract [L2432]."
DB09420,"Iodine is commonly used in thyroid function diagnostic tests as this gland normally absorbs iodine through the diet for formation of the thyroid hormones triiodothyronine (T3) and its prohormone, thyroxine (T4). Radioactive I-123 in particular is effective for this use as its half-life of approximately 13.13 h (hours) is ideal for the 24-h (hour) iodine uptake test and it has a reduced radiation burden as compared to I-131.",Administration of Sodium Iodide I 123 Capsules is indicated as a diagnostic procedure to be used in evaluating thyroid function and/or morphology.
DB09421,"Although not currently available in any FDA-approved product, protirelin is a component of the TRH Test where it is used to test the response of the anterior pituitary gland in conditions such as secondary hypothyroidism and acromegaly.",
DB09422,"Derived from soybeans, soybean oil is a common vegetable oil and a source of polyunsaturated and saturated fatty acids. It is a complex mixture of triglycerides where per 100 g, soybean oil has 16 g of saturated fat, 23 g of monounsaturated fat, and 58 g of polyunsaturated fat. The major component fatty acids are linoleic (48% - 58%), oleic (17% - 30%), palmitic (9% -13%), linolenic (4% - 11%), and stearic (2.5% - 5.0%). It is used as a cooking oil and lipid emulsion for parenteral nutrition in clinical settings. Soybean oil-based lipid emulsion is the only FDA-approved lipid formulation for clinical use.","Indicated for parenteral nutrition as a source of calories and essential fatty acids when oral or enteral nutrition is not possible, insufficient, or contraindicated. "
DB09423,,
DB09425,Indium In-111 pentetate disodium is a radioactive diagnostic indicated for use in radionuclide cisternography. Decay of In-111 by electron capture allows for detection with a gamma camera for visualization of the brain and spinal column.,Pentetate Indium Disodium In 111 is recommended for use in radionuclide cisternography.
DB09429,,
DB09430,,
DB09443,,
DB09446,"Safflower (_Carthamus tinctorius_ L) is a herbaceous plant in the Asteraceae family. Extracted from the seeds of safflowers, safflower oil is a rich source of various saturated fatty acids, monounsaturated fatty acid (oleic acid) or essential n-6 polyunsaturated fatty acid (PUFA) linoleic acid [A32677, A32679], depending on the flower type. Safflower oil with a higher content of polyunsaturated fatty acids is more commonly used as an edible oil. The constituents of safflower oil also include alpha-tocopherol, gamma-tocopherol, and mixed [DB11251] [A32692].  Safflower oil is approved for use as an indirect additive in food contact substances and is readily available as a food ingredient. Gamma linolenic acid (GLA) safflower oil is marketed as an over-the-counter dietary supplement.",No approved therapeutic indications.
DB09447,,
DB09449,Sodium phosphate is a saline laxative that is thought to work by increasing fluid in the small intestine. It usually results in a bowel movement after 30 minutes to 6 hours.,Used to treat constipation or to clean the bowel before a colonoscopy [FDA Label].
DB09456,Insulin beef has been discontinued in the US and Canada since 2017.[L10827],
DB09459,"Tartaric acid is a white crystalline organic acid that occurs naturally in many plants, most notably in grapes.Tartaric is an alpha-hydroxy-carboxylic acid, is diprotic and aldaric in acid characteristics, and is a dihydroxyl derivative of succinic acid.","Tartaric Acid is primarily indicated in conditions like Antiscorbutic, Antiseptic."
DB09460,"Sodium Carbonate is the disodium salt of carbonic acid with alkalinizing property. When dissolved in water, sodium carbonate forms carbonic acid and sodium hydroxide. As a strong base, sodium hydroxide neutralizes gastric acid thereby acting as an antacid.","Used topically for dermatitides, mouthwash, vaginal douche; veterinary use as emergency emetic.Occasionally, for dermatitides topically as a lotion. Medication (Vet): In solution to cleanse skin, in eczema, to soften scabs of ringworm."
DB09462,A trihydroxy sugar alcohol that is an intermediate in carbohydrate and lipid metabolism.,"It is used as a solvent, emollient, pharmaceutical agent, and sweetening agent."
DB09472,"Sodium Sulfate Anhydrous is the anhydrous, sodium salt form of sulfuric acid. Sodium sulfate anhydrous disassociates in water to provide sodium ions and sulfate ions. Sodium ion is the principal cation of the extracellular fluid and plays a large part in the therapy of fluid and electrolyte disturbances. Sodium sulfate anhydrous is an electrolyte replenisher and is used in isosmotic solutions so that administration does not disturb normal electrolyte balance and does not lead to absorption or excretion of water and ions.",indicated for bowel cleansing prior to colonoscopy or barium enema X-ray examination.
DB09473,"Following intravenous administration, the lipid-soluble complex is able to penetrate platelet cell membranes. Once inside, Indium detaches from the oxyquinoline complexes and becomes attached to cytoplasmic components.",Indium In 111 oxyquinoline is indicated for radiolabeling autologous leukocytes.
DB09477,Enalaprilat is poorly orally available and is therefore only available as an intravenous injection for the treatment of hypertension when oral therapy is not possible.,Enalaprilat injection is indicated for the treatment of hypertension when oral therapy is not practical.
DB09479,Rubidium chloride Rb-82 injection  is a sterile nonpyrogenic solutions of rubidium Rb 82 chloride. It is indicated for Positron Emission Tomography (PET) imaging of the myocardium under rest or pharmacologic stress conditions to evaluate regional myocardial perfusion in adult patients with suspected or existing coronary artery disease.,Rubidium Rb 82 chloride injection is indicated for Positron Emission Tomography (PET) imaging of the myocardium under rest or pharmacologic stress conditions to evaluate regional myocardial perfusion in adult patients with suspected or existing coronary artery disease.
DB09480,,
DB09481,"Magnesium carbonate, also known as magnesite, is a common over the counter remedy for heartburn and upset stomach caused by overproduction of acid in the stomach [FDA Label].",Used as an over the counter antacid [L593].
DB09483,,
DB09484,Sodium monofluorophosphate is used in OTC dental preparations to help protect against cavities.,Sodium monofluorophosphate is indicated for the treatment of cavities
DB09487,"Nonionic, isotonic contrast medium designed for intrathecal use.",
DB09488,Acrivastine is currently available in combination with pseudoephedrine as the FDA-approved product Semprex-D.,"For the relief of symptoms associated with seasonal allergic rhinitis such as sneezing, rhinorrhea, pruritus, lacrimation, and nasal congestion."
DB09490,"Indium In-111 Chloride is a diagnostic radiopharmaceutical agent intended for radiolabeling OncoScint (satumomab pendetide) or ProstaScint (capromab pendetide) used for _in vivo_ diagnostic imaging procedures and for radiolabeling Zevalin (ibritumomab tiuxetan) in preparations used for radioimmunotherapy procedures. It  is supplied as a sterile, pyrogen-free solution of Indium (""'In) Chloride in O.04M HCI.",Indium In-111 Chloride is indicated for radio labeling of monoclonal antibodies in preparations used for in vivo diagnostic imaging procedures. Indiclor is also indicated for radiolabeling Zevalin in preparations used for radio immunotherapy procedure
DB09493,"Technetium Tc-99m red blood cells is a radiopharmaceutical diagnostic agent that is intravenously administered to be used in blood pool imaging, including cardiac first pass and gated equilibrium imaging and for detection of sites of gastrointestinal bleeding. It is clinically useful in early detection and localization of bleeding sites, and preoperative diagnosis of hemangioma [A32178, A32179]. Autologous red blood cells are radiolabeled with sodium pertechnetate Tc 99m in the reaction vial. Radiolabeled red blood cells are re-injected intravenously into the patient for gamma scintigraphic imaging [FDA Label]. It is suggested that _in vitro_ labelling improves the heart-to-background ratio during imaging [A32181].","Indicated for blood pool imaging, including cardiac first pass and gated equilibrium imaging and for detection of sites of gastrointestinal bleeding [FDA Label]. "
DB09494,"Cetyl alcohol, also known as 1-hexadecanol or n-hexadecyl alcohol, is a 16-C fatty alcohol with the chemical formula CH3(CH2)15OH. It can be produced from the reduction of palmitic acid. Cetyl alcohol is present in a waxy white powder or flake form at room temperature, and is insoluble in water and soluble in alcohols and oils [A32209]. Discovered by Chevrenl in 1913, cetyl alcohol is one of the oldest known long-chain alcohol [A32209]. It may be contained in cosmetic and personal care products such as shampoos, creams and lotions. Mainly it is used as an opacifier, emulsifier, and thickening agent that alter the thickness of the liquid, and increase and stabilize the foaming capacity. Due to its water-binding property, cetyl alcohol is commonly used as an emollient that prevents drying and chapping of the skin [A32209]. According to the FDA Code of Federal Regulations, cetyl alcohol is a safe synthetic fatty acid in food and in the synthesis of food components under the condition that it contain not less than 98 percent of total alcohols and not less than 94 percent of straight chain alcohols [L1824]. Cetyl alcohol is also listed in the OTC ingredient list as a skin protectant for skin irritations caused by poison ivy, oak, sumac, and insect bites or stings [L1074]. Cetyl alcohol is reported to be a mild skin or eye irritant.","No therapeutic indications in medicinal products. Indicated to be used as an indirect additive in food contact substances, or an ingredient in commercial or cosmetic products. "
DB09495,"Avobenzone is dibenzoyl methane derivative. It is oil soluble ingredient. Avobenzone has the ability to absorb ultraviolet light over wider range of wavelengths. It is included in many commercially available sunscreens which are used as wide spectrum sunscreens. Avobenzone is very sensitive to light, to increase its stability and duration of action, photostablizers are added in the sunscreen product. Avobenzone has an absorption maximum of 357 nm. Sunscreens containing avobenzone is indicated for providing protection from the sun.  In addition to limiting the skin's exposure to the sun, using sunscreen agents may help reduce long-term sun damage such as premature aging of the skin and skin cancer.","Sun protection factor, added in the sunscreen products for its wide spectrum ultraviolet absorption properties. "
DB09496,Octinoxate is a cinnamate ester and common ingredient in sunscreen and other skin care products to minimize DNA photodamage. It was originally developed in 1950's as an organic UV-B filter that absorbs UV-B rays from sun. It is often combined with nanoparticles or other water-resistant liposomes in formulations to increase the localization at the epidermis and decrease the risk of percutaneous absorption. Its use in pharmaceutical and cosmetic formulations is approved by FDA.,As an active ingredient in sunscreens and lip balms. Used for protection against damaging effects of sun rays. 
DB09498,"Strontium chloride (Sr-89), initially FDA-approved in 1993, is used as a paliative therapeutic option to help relieve the pain from bone metastases. Strontium chloride is mainly used in cases of metastatic castrate-resistant prostate cancer.[A31264] Bone metastases is a common and severe complication presented in advanced stages of the disease. It is usually presented mainly in patients with prostatic and breast cancer, as well as in cancer of lung, bladder and thyroid. There has been some cases of apparent tumor regression which has given it a potential tumoricidal effect.[A31263]",Strontium-89 Chloride Injection is indicated as a paliative for the relief of bone pain in patients with skeletal metastases. It is impotant to confirm the presence of bone metastases prior the beginning of therapy.[A31264]
DB09499,"Beside the above indications, sodium thiosulfate could be used as ingredient in the following: agricultural chemicals (non-pesticidal), fillers, intermediates, laboratory chemicals, oxidizing/reducing agents, process regulators, processing aids, and solids separation agents.",Indicated for sequential intravenous use with sodium nitrite for the treatment of acute cyanide poisoning that is judged to be life-threatening.
DB09501,,
DB09502,"Fludeoxyglucose F 18 Injection is a positron emitting radiopharmaceutical containing no-carrier added radioactive 2-deoxy-2-[18F]fluoro-D-g1ucose, which is used for diagnostic purposes in conjunction with Positron Emission Tomography (PET). It is administered by intravenous injection.","Fludeoxyglucose F 18 Injection is indicated in positron emission tomography (PET) imaging for assessment of abnormal glucose metabolism to assist in the evaluation of malignancy in patients with known or suspected abnormalities found by other testing modalities, or in patients with an existing diagnoses of cancer. "
DB09507,,
DB09508,,
DB09510,"The Urea Breath Test is based on the ability of the H. pylori enzyme urease to cleave urea into ammonia and carbon dioxide. As the urease enzyme is not present in mammalian cells, the presence of urease (and the products of urea cleavage) in the stomach is evidence that H. pylori bacteria are present.  To detect H. pylori, urea labeled with 13C is swallowed by the patient. If gastric urease from H. pylori is present, urea is split to form CO2 and NH3 at the interface between the gastric epithelium and lumen and 13CO2 is absorbed into the blood and exhaled in the breath. Exhaled breath samples can then be collected and measured for the presence of radioactivity.","Urea-13C is indicated for use in the qualitative detection of urease associated with Helicobacter pylori in the human stomach and as an aid in the initial diagnosis and post-treatment monitoring of Helicobacter pylori infection in adult patients. The test may be used for monitoring treatment if used at least four (4) weeks following completion of therapy. For these purposes, the system utilizes an Infrared Spectrophotometer for the measurement of the ratio of 13CO2 to 12CO2 in breath samples."
DB09511,"Although talc has been widely used for decades, lawsuits that have come to the surface claim serious health complications linked to its use. In fact, recent studies have reported that talc increases the risk of ovarian and endometrial cancers by approximately 30 percent.",Indicated to prevent recurrence of malignant pleural effusions in symptomatic patients during thoracoscopy or open thoracotomy.
DB09512,"The main side effects of simethicone are GIT related including: mild diarrhea, nausea and vomiting.","2. It could be used also prior to an endoscopy to eliminate foam, gas and air from the gastrointestinal tract to reduce gas shadow which will result in better visualization.  "
DB09513,"The Urea Breath Test is based on the ability of the H. pylori enzyme urease to cleave urea into ammonia and carbon dioxide. As the urease enzyme is not present in mammalian cells, the presence of urease (and the products of urea cleavage) in the stomach is evidence that H. pylori bacteria are present.  To detect H. pylori, urea labeled with 14C is swallowed by the patient. If gastric urease from H. pylori is present, urea is split to form CO2 and NH3 at the interface between the gastric epithelium and lumen and 14CO2 is absorbed into the blood and exhaled in the breath. Exhaled breath samples can then be collected and measured for the presence of radioactivity.",14C-urea is intended for use in the detection of gastric urease as an aid in the diagnosis of Helicobacter pylori (H. pylori) infection in the human stomach. The test utilizes a liquid scintillation counter for the measurement of 14CO2 in breath samples.
DB09516,"Mequinol is a phenol used in various applications. It is used as an inhibitor for acrylic monomers and acrylonitirles, as a stabilizer for chlorinated hydrocarbons and ethyl cellulose, as an ultraviolet inhibitor, as a chemical intermediate in the manufacture of antioxidants, pharmaceuticals, plasticizers, and dyestuffs [L993]. It is found as an active ingredient in topical drugs used for skin depigmentation indicated for the treatment of solar lentigines.",Mequinol is currently primarily available only as an active ingredient in combination products combined with tretinoin that are indicated for the treatment of solar lentigines and related hyperpigmented lesions resulting from chronic sun exposure [FDA Label].
DB09517,"Sodium ferric gluconate complex is an iron replacement product for treatment of iron deficiency anemia. The stable macromolecular complex is negatively charged at alkaline pH with an apparent molecular weight of 289,000 ¨C 440,000 daltons on gel chromatography. It is composed of iron (III) oxide hydrate directly bonded to sucrose with a chelating gluconate function in a molar ratio of two iron molecules to one gluconate. It is used in adult and in pediatric patients over the age of 6 years with chronic kidney disease (CKD) receiving hemodialysis and receiving supplemental epoetin therapy.",Used to replete the total body content of iron during iron deficiency anemia in patients age 6 years and older with chronic kidney disease receiving hemodialysis and receiving supplemental epoetin therapy.
DB09526,"Hydroquinone has come under scrutiny due to several complications associated with its use, including dermal irritation, exogenous onchronosis, and carginogenicity. As a result of these concerns, hydroquinone has been banned in the EU and UK.","Hydroquinone is used as an OTC topical lightening agent for disorders of hyperpigmentation including melasma, post-inflammatory hyperpigmention, sunspots and freckles. "
DB09527,Secretin porcine stimulates pancreatic and gastric secretions to aid in the diagnosis of pancreatic exocrine dysfunction and the diagnosis of gastrinoma.,
DB09532,"Purified synthetic human secretin, also referred to as RG1068, is available as an intravenous injection under the market name ChiRhoStim ? in the U.S.. It contains an amino acid sequence identical to the naturally occurring hormone consisting of 27 amino acids [FDA Label] that supports ¦Á-helical formation [A32275].  The carboxyl-terminal amino acid, valine, is amidated. Synthetic human secretin displays equivalent biological activity and properties as naturally-occurring secretin [A32265]. It is indicated for the stimulation of the pancreatic and gastric secretions to aid in the diagnosis of pancreatic exocrine dysfunction and the diagnosis of gastrinoma, and facilitate the identification of the ampulla of Vater and accessory papilla during endoscopic retrograde cholangiopancreatography (ERCP).",- pancreatic secretions to facilitate the identification of the ampulla of Vater and accessory papilla during endoscopic retrograde cholangiopancreatography (ERCP) [FDA Label].
DB09534,"Ecamsule is an organic compound which is added to many sunscreens to filter out UVA rays. It is a benzylidene camphor derivative, many of which are known for their excellent photostability. Ecamsule has been approved for use in the U.S. since 2006, but only at a specific concentration and only in a few products manufactured by L'Oreal. The company got approval for those products through a new drug application process.",Applied topically to filter out UVA rays.
DB09535,Octocrylene is an organic compound used as an ingredient in sunscreens and cosmetics.,"In the US, Octocrylene has been evaluated by the FDA and is considered safe for use up to 10% in the formula. Similarly, the EU allows its use up to 10% in a formula while Health Canada allows a maximum use level of 12%. "
DB09536,"Titanium dioxide, also known as titanium(IV) oxide or titania, is the naturally occurring oxide of titanium. It is used as a pigment under the names titanium white, Pigment White 6 (PW6), or CI 77891. It is typically extracted from ilmenite, rutile and anatase.","Titanium dioxide is used in most sunscreens to block UVA and UVB rays, similar to [zinc oxide]."
DB09537,"It is intended for local use only. Prolonged skin exposure could cause skin defatting manifested by the following signs/symptoms; localized redness, itching, drying and cracking of skin.","Antispetic and germicidal agent. It is indicated for use as a patient preoperative skin preparation, for the preparation of the skin prior to surgery and to help reduce bacteria that can potentially cause skin infection."
DB09539,"Omega-3-acid ethyl esters are prescription drugs that contain eicosapentaenoic acid-ethyl ester (EPA) and docosahexaenoic acid-ethyl ester (DHA) that are used in combination with changes in diet to lower triglyceride levels in adults with severe (¡Ý 500 mg/dL) hypertriglyceridemia[FDA Label][A176687]. Omega-3-acid ethyl esters are currently marketed in the US, EU, and many other regions under the brand name Lovaza[FDA Label][L5849].","Omega-3-Acid Ethyl Esters capsules, USP are indicated as an adjunct to diet to reduce triglyceride (TG) levels in adult patients with severe (¡Ý500 mg/dL) hypertriglyceridemia (HTG)[FDA Label][A176687]."
DB09543,"Methyl salicylate (oil of wintergreen or wintergreen oil) is an organic ester naturally produced by many species of plants, particularly wintergreens. The compound was first extracted and isolated from plant species Gaultheria procumbens in 1843. It can be manufactured synthetically and it used as a fragrance, in foods, beverages, and liniments. It forms a colorless to yellow or reddish liquid and exhibits a characteristic odor and taste of wintergreen. For acute joint and muscular pain, methyl salicylate is used as a rubefacient and analgesic in deep heating liniments. It is used as a flavoring agent in chewing gums and mints in small concentrations and added as antiseptic in mouthwash solutions.","Ointments or liniments containing methyl salicylate are applied topically as counter irritant for relief of acute pain associated with lumbago,sciatica and rheumatic conditions. Local analgesics for human and veterinary medicine."
DB09546,Iobenguane sulfate I-123 is a radiopharmaceutical used in gamma-scintigraphy of adrenergically inervated tissues [FDA Label].,For use in the diagnostic imaging of adrenergically inervated tissues for the purposes of detecting metastatic pheochromocytoma or neuroblastoma [FDA Label]. Also used to assess the sympathetic inervation of the myocardium via determination of the heart to mediastinum ratio of radioactivity in patients with New York Heart Association class II or III heart failure.
DB09551,"Desoxyribonuclease is a crystalline enzyme that aids in the digestion of the thymus nucleic acid. The mechanism of action of the enzyme involves the splitting of thymus nucleic acid into fragments approaching the size of tetranucleotides without the release of free phosphoric acid. The enzyme's cofactor is reported to be magnesium (or manganese) ions, although the optimal concentration of the ion is independent of the enzyme concentration [A31251].",
DB09552,"Thonzonium is a monocationic surface-active agent with surfactant and detergent properties. It is widely used as an additive to in ear and nasal drops to enhance dispersion and penetration of cellular debris and exudate, thereby promoting tissue contact of the administered medication. A common pharmaceutical formulation of thonzonium bromide is cortisporin-TC ear drops. It is also reported that thonzonium also confers an antifungal property and antiresorptive effect on bone.",Used as a monocationic surfactant and detergent to help penetration of active ingredients through cellular debris for its antibacterial action.
DB09555,Dexchlorpheniramine is the S-enantiomer of chlorpheniramine which is a 1st generation anti-histamine. Dexchlorpheniramine has more pharmacological activity than the R and so is more potent than the  racemic mixture.,"Dexchlorpheniramine can be used in the treatment of perennial and seasonal allergic rhinitis, vasomotor rhiniti, allergic conjunctivitis due to inhalant allergens and foods, mild uncomplicated allergic skin manifestations of urticaria and angioedema, amelioration of allergic reactions to blood or plasma, and dermographism."
DB09559,"Necitumumab is an intravenously administered recombinant monoclonal IgG1 antibody used in the treatment of non-small cell lung cancer (NSCLC) as an EGFR antagonist. It functions by binding to epidermal growth factor receptor (EGFR) and prevents binding of its ligands, a process that is involved in cell proliferation, metastasis, angiogenesis, and malignant progression. Binding of necitumumab to EGFR induces receptor internalization and degradation, thereby preventing further activation of EGFR which is beneficial in NSCLC as many patients have increased protein expression of EGFR. Necitumumab is approved for use in combination with cisplatin and gemcitabine as a first-line treatment for metastatic squamous non-small cell lung cancer (NSCLC).",Necitumumab is approved for use in combination with cisplatin and gemcitabine as a first-line treatment for metastatic squamous non-small cell lung cancer (NSCLC). It is not indicated for treatment of non-squamous NSCLC. 
DB09561,Sodium glycerophosphate is one of several glycerophosphate salts. It is used clinically to treat or prevent low phosphate levels [FDA Label]. Glycerophosphate is hydrolyzed to inorganic phosphate and glycerol in the body [A32667]. The extent of this reaction is dependent on the activity of serum alkaline phosphatases.,"Sodium glycerophosphate is indicated for use as a source of phosphate in total parenteral nutrition [FDA Label]. It is used in combination with amino acids, dextrose, lipid emulsions, and other electrolytes."
DB09563,"Choline C 11 Injection is a radioactive diagnostic agent for positron emission tomography (PET) imaging of pat ients with suspected prostate cancer recurrence and non-informative bone scintigraphy, computerized tomography (CT) or magnetic resonance imaging.","Choline C 11 Injection is indicated for  positron emission tomography (PET) imaging of patients with suspected prostate cancer recurrence and non-informative bone scintigraphy, computerized tomography (CT)    or magnetic resonance imaging (MRI).  In these patients, 11 C-choline PET  imaging may  help identify potential sites of prostate cancer recurrence for subsequent histologic confirmation. Suspected prostate recurrence is based upon elevated blood prostate specific antigen (PSA) levels following initial therapy.  In clinical studies, imag   es w  ere produced with PET/CT coregistration. "
DB09564,"Insulin Degludec was approved by the FDA in September 2015 as the product Tresiba, for use in providing glycemic control to adults with diabetes mellitus.",Insulin degludec is indicated to improve glycemic control in patients 1 year of age and older with diabetes mellitus.
DB09567,"Oil extracted from olives [L857]. Consists primarily of the glycerides of the fatty acids linoleic, oleic and palmitic. Used as a source of fatty acids in total parenteral nutrition and as an additive in some cosmetic products [FDA Label].",For use in adults as a source of calories and fatty acids in total parenteral nutrition [FDA Label]. Sometimes used as an additive in cosmetic products.
